Course	Room	Teacher	Time	Students
008469	RCSEM	3420576	48	0172459 3340797 3352660 3378849 3396837 3414298 3418117 3429733 3431155 3435922 3439387 3456994 
013169	PK100	3393009	48	0686967 1170820 3121717 3262457 3270555 3313406 3322549 3330517 3339567 3340716 3352054 3358228 3414395 3417338 3418441 
012295	PK328	0564741	48	0700408 3227211 3319602 3364991 3379786 3396313 3435931 
008769	PK349	0899465	47	0750570 3196460 3254633 3266668 3330300 3331071 3334029 3339315 3340797 3343615 3351809 3352269 3359026 3374569 3375544 3396377 3404976 3405451 3412725 3415144 3417002 3418145 3420434 3422289 3424318 3426213 3430131 3431155 3431257 3431445 3431448 3431740 3432040 3432238 3432344 3433760 3435161 3435771 3436588 3437591 3438441 3438443 3438472 3438473 3439283 3439328 3439820 3439912 3440024 3441016 3446670 3451551 3453352 3454497 3455915 3458122 3458339 3459584 3461882 3462297 3462356 3462516 3462882 3462936 3462956 3463589 3464379 
012771	TH129	3448653	48	1086489 3069495 3119618 3329782 3341037 3422289 3458176 
004355	TAYC	0847593	54	1089147 3118476 3212089 3358339 3374194 3412866 3415627 3435922 3439387 3441306 3452964 3454433 
003572	EHLEC	0897399	53	1170820 3121717 3196460 3219120 3219586 3224449 3225193 3227498 3231817 3234723 3236006 3250514 3262457 3263080 3269275 3270555 3292387 3303344 3312800 3313406 3319691 3319692 3322549 3324360 3330527 3341037 
013216	EHII	3318436	18	1170820 3254734 3267997 3319692 3337037 3340716 3352054 3354609 3358378 3374470 3402583 3404364 3415801 3426735 3429732 3436710 3448868 3449400 3453262 3455808 3456228 3462246 3463453 
013217	PK100	3443571	19	1170820 3226486 3358339 3402583 3415849 3416374 3417284 3425401 3429732 3435183 3435397 3442991 3443092 3460073 
007380	DAL25	0987494	19	3069495 3121847 3122431 3221877 3239803 3250244 3303699 3319692 3337249 3344151 3395299 3411258 3414068 3426213 3433929 3438669 
007381	BYC127	0031611	54	3069495 3222195 3233965 3239900 3245992 3246608 3255755 3257543 3324812 3337249 3352269 3360165 3365419 3375120 3388921 3395299 3397042 3397265 3405151 3409210 3411018 3411159 3411258 3415619 3418106 3418120 3421153 3426213 3426244 3430786 3431060 3432027 3434539 3440116 3463745 
008500	PK100	3420576	10	3069495 3075829 3102974 3119618 3161154 3219586 3224211 3273028 3283602 3326956 3329729 3329782 3340096 3341037 
001836	PK349	3452118	22	3073525 3223179 3250131 3250227 3322886 3331180 3337246 3337334 3359188 3378849 3404693 3405451 3405619 3409210 3411059 3411154 3413582 3415615 3415852 3416232 3418120 3419470 3420025 3421500 3421700 3428608 3430152 3430298 3430383 3430786 3431294 3431672 3432223 3432238 3433849 3435039 3435384 3435692 3436311 3436588 3436710 3437240 3438113 3438374 3438455 3438471 3439899 3440024 3443421 3445081 3448679 3451663 3452561 3453445 3455625 3455631 3455915 3458451 3458972 3459522 3460369 3460488 3460737 3461826 3461962 3462356 3462514 3462516 3462964 3463226 3463602 3463675 3463883 3463936 3464100 
002160	TH110	0004950	53	3073525 3224924 3250131 3319602 3331180 3341079 3365824 3375120 3379786 3404693 3405151 3405422 3412670 3412825 3413521 3415619 3415849 3416536 3417172 3419470 3420437 3421700 3425578 3429810 3430196 3430383 3430401 3431294 3431672 3432344 3432384 3432595 3433760 3434130 3435039 3435313 3436119 3436930 3438669 3439437 3439670 3451553 3452964 3453352 3459505 
006846	TH110	0402773	18	3073525 3227217 3227263 3228510 3230522 3270468 3291024 3304946 3311583 3322523 3322886 3323191 3323859 3329727 3331270 3331686 3337246 3337334 3337781 3337851 3339156 3339567 3360165 3363924 3378849 3395581 3396312 3396460 3396461 3405153 3405422 3405604 3411159 3411531 3413014 3413728 3414273 3414843 3415619 3416203 3417172 3420884 3425437 3429810 3430196 3431449 3435248 3436119 3437978 3439328 3439558 3440036 
001547	RCCON	1054236	53	3075829 3198863 3257109 3314546 3340096 3352054 3431080 3438068 3440175 3456210 
007127	DAL300	0162976	48	3090066 3116269 3201565 3221487 3224179 3239404 3260429 3263732 3264284 3267886 3269263 3269750 3278685 3283549 3310035 3312301 3329885 3331032 3336750 3337915 3337955 3338668 3339987 3339999 3340585 3340959 3418479 
011045	PK200	3213249	10	3090066 3263732 3405144 3412520 3412523 
013155	PK200	3198619	19	3090066 3119160 3310035 
013343	DAL212E	3473827	54	3090066 
001763	TAYB	3474420	54	3093818 3329409 3330318 3340716 3416374 3426717 3437252 
004379	ROSTUD	0989327	48	3094516 3292387 3303699 3304629 3314270 3324812 3425095 
007372	EHLEC	0603646	9	3094516 3233965 3257109 3307130 3314546 3337673 3339814 3342969 3344151 3352269 3413014 3415217 3416997 3417000 3418907 3424363 3429733 3429894 3431260 3434539 3437252 3437756 3438443 3439147 3449263 3456645 
005263	DAL25	0493855	48	3094719 3102974 3227297 3227669 3251781 3330241 3330264 3338504 3340672 3342762 3397012 3397992 3402266 3417314 
013194	TAYE	0058557	18	3094719 3227669 3239404 3239492 3337335 3340292 3396036 3397012 3422414 3423839 3426638 3426654 3429524 3436158 3450069 3457935 3460766 
001247	DAL212E	3448653	10	3099325 
002992	CARP21	1083868	14	3099420 3231817 3239415 3239803 3246608 3254633 3263080 3314978 3322585 3323354 3337912 3366307 3404196 3404642 3405248 3405393 3411158 3411186 3413774 3415870 3416640 3417001 3426244 3429810 3431080 3431448 3431629 3435366 3436930 3437341 3438102 3439475 3440175 3446645 3450546 3452529 3453856 3454226 3454433 3454625 3455341 3458250 3458452 3459888 3459897 3460235 3461469 3462242 3462606 3462720 3462990 3463143 3463353 3463389 3463919 
007008	PK278	0316015	38	3099420 3228659 3374470 3377851 3396837 3405422 3405604 3406073 3413441 3417097 3422146 3425239 3425578 3436588 3437591 3437962 3446653 3457692 3458949 3459613 3462290 3463353 3463919 3464272 
010942	TH224	0207327	10	3102134 3195977 3198863 3199633 3223457 3227882 3246608 3259524 3269425 3300040 3311527 3314978 3319023 3324397 3329719 3331071 3339160 3339780 3339989 3359188 3404534 3405422 3412100 3412644 3413923 3417055 3418908 3437379 3437778 
004369	PK10	0138190	54	3102974 
009845	PK227	0316015	19	3102974 3314413 3412261 
005141	PK278	1020104	19	3103190 3217598 3219927 3240926 3251781 3330264 3339814 3340959 3366307 3402266 3404204 3411005 3412381 3416640 3421770 3424363 3426658 3432759 3437011 3437589 3441177 3454625 3457184 3462936 
005271	PK227	1137952	10	3103190 3201565 3314364 3378849 3405695 3430786 
011063	PK100	3195964	14	3103190 3218733 3219927 3358960 3404179 3404364 3405427 3405604 3405695 3423970 3429566 3429602 3430298 3434124 
006026	TAYF	0431634	58	3103343 3224924 3324231 3324271 3329365 3344941 3375389 3380697 3404386 3413521 3417791 3423829 3425095 3426244 3431828 3434468 3446645 3454115 3455227 3455297 3455419 3459647 3460134 3461057 3461962 3462292 3464272 3464379 
006867	DAL10	3461209	14	3103343 3266668 3316953 3329365 3338009 3339354 3414278 
013191	EHIII	0695890	54	3103343 3251781 3314570 3338504 3341358 3342762 3402266 3418145 3449263 
005196	TH110	0493855	14	3112960 3217598 3218585 3273028 3312519 3316247 3329814 3331179 3339814 3339830 3340672 3342762 3350298 3358228 3358378 3369702 3396292 3402583 3404386 3411005 3413283 3414124 3415489 3416286 3416424 3421753 3426213 3426717 3426718 3428608 3429524 3429706 3430978 3431260 3431828 3432077 3432759 3434210 3435722 3435771 3437365 3437756 3438471 3438550 3440024 3453352 3460766 3462554 
009304	DAL6	0493855	10	3112960 3125756 3218733 3227361 3235332 3240926 3252499 3259952 3261773 3336991 3338504 3339827 3340672 
013171	DAL6	3092941	19	3112960 3236006 3261773 3303344 3314570 3319386 3319691 3340558 3341213 3396206 3404341 3417273 3426718 
001237	TH129	0031471	19	3113981 3217451 3227498 3311586 3330767 3339987 
001843	PK229	0056992	38	3113981 3123570 3198918 3217410 3221877 3223347 3224924 3252499 3270555 3283602 3316768 3319023 3323191 3339567 3340339 3379786 3396312 3396377 3405151 3405829 3412670 3412755 3412866 3414124 3416203 3417273 3419470 3421044 3421604 3429810 3432595 3435248 3435313 3435771 3439558 3443421 
007125	RCCON	0162976	10	3116269 3260429 3269750 3312301 3318988 3329885 3331032 3340959 3341253 3430953 
006573	CARP13	0031399	48	3118615 3331277 3439818 
001213	DAL300	0031471	54	3119160 3121331 3217410 3223347 3239492 3266121 3275705 3314281 3324844 3329727 3331270 3351574 3351809 3354445 3359596 3364639 3393147 3396313 3396422 3405153 3412523 3413255 3414811 3415217 3417073 3439820 3440606 
001248	DAL212A	0031388	26	3119160 3121331 3217410 3217451 3223179 3223347 3224187 3228721 3236337 3239492 3247072 3266121 3275705 3311586 3314281 3319023 3323354 3323859 3324844 3329727 3330767 3331270 3337414 
007006	PK227	0031568	49	3119160 3405695 3426666 3431260 3435187 3459647 
008447	PK354	0132890	49	3119618 3328955 3329409 3337673 3344151 3396036 3396313 3397012 3411629 3412520 3412755 3418117 3421604 3426638 3429524 3431448 3433929 3435070 
011204	BYC239	0408816	9	3119618 3221499 3269332 3270468 3323354 3326954 3339156 3339827 3340838 3396422 3417355 
002869	PK278	0004955	54	3119907 3226945 3244115 3254408 3269275 3292387 3324484 3329686 3339814 3413574 3415766 3419470 3426858 3429706 3430383 3435384 3444537 3452561 3453472 3455148 3455631 3455719 3462512 3462872 
002878	EHIII	3212821	48	3119907 3236356 3314899 3340110 
013164	DAL10	0031632	10	3119907 
013299	PK337	3475676	26	3119907 3250074 3412825 3421770 3429566 3431158 3437589 3438232 3439475 3453218 3454625 3455227 3457808 3463327 
011294	TAYD	0135660	48	3121331 3239492 3266121 3319023 3324844 3393147 3415217 3426717 
012770	TH104	3448653	19	3121331 3223467 3252499 3339315 3405145 3415125 3415870 3417370 3420380 3420940 3421044 3426719 3429602 3429834 3438100 3440606 3441413 3452529 3455227 3459972 3462262 3462964 3463022 3463126 3463879 
001766	TH223	1165592	54	3121717 3223179 3224449 3227263 3250514 3339567 3344264 3358228 3374569 3426718 3456820 
004017	EH102	0031578	59	3121717 3212483 3331186 3337246 3343167 3397265 3397442 3404179 3406295 3414395 3417359 3431672 3434428 
004873	TH111	3194193	10	3121847 3223213 3225193 3263080 3436514 3438068 
