Course	Room	Teacher	Time	Students
004083	PK336	0376136	31	0145661 0795445 0903449 0915740 0945809 0965927 0972660 0982172 0988355 0999689 1000122 1000939 1040818 
006024	PK338	0301909	39	0254082 0897931 0948568 0954240 1001894 1006105 1008967 1017492 1017832 1067251 1077413 1080654 1080808 1088785 1090564 1092187 1094134 1094929 1099178 1104151 1141167 1146215 1163278 1163391 1166163 1169962 3070344 3070438 3070881 3071136 3074711 3074965 3077033 3080612 3081669 3087352 3087449 3088117 3088521 3088978 3089081 3089566 3090519 3092431 3092999 3093190 3093221 3093369 3093697 3094719 3094809 3094908 3095105 3095335 3095719 3095842 3096149 3096547 3096592 3097133 3097158 3097636 3098330 3098883 3099448 3099774 3099986 3100110 3100408 3100835 3102057 3102316 3102380 3102599 3103038 3104770 3105511 3105818 3105862 3106561 3106835 3107254 3107966 
006026	TAYG	0213446	46	0254082 0911802 0959200 0989590 1026650 1036442 1058223 1077874 1080303 1093549 1094520 1095157 1100383 1112377 1136830 1145146 1170033 1170370 1170709 1172030 3069337 3074289 3074551 3074634 3075188 3078465 3079675 3089009 3094033 3095630 3099729 3102380 3103445 3103807 3104899 3106769 3107323 
008764	TAYG	0899465	11	0254082 0999689 1037291 1056024 1086710 1087116 1088785 1161960 1165961 1169331 1170709 3068353 3071136 3074711 3079862 3080198 3085728 3087493 3088124 3088521 3090785 3092431 3093697 3095625 3099704 3100408 3100678 3102153 3102380 3102915 3104541 3105046 3105821 3106074 3106953 3107589 3112067 3195980 
003003	TAYE	3214464	46	0480377 0906447 0945264 0966414 1001394 1056963 1067862 1078836 1079363 1079564 1102530 1131602 1157047 1170703 3065039 3067556 3072477 3073169 3073384 3074570 3077336 3077472 3077809 3080473 3080612 3085513 3087449 3092972 3093190 3095105 3095649 3095842 3099757 3100989 3102057 3104731 3105612 3105854 3107966 3107993 
010965	GIL101	0897706	15	0649837 0853174 0861816 0956475 0980544 0993506 1005315 1015256 1029566 1030693 1039868 1053370 1056320 1085061 1088192 1170470 1170860 3080937 
004815	PK337	3092667	15	0672478 0967042 1001351 1066982 1100625 1122905 3078500 3092985 3103177 3106769 
006504	TH111	3198623	48	0672478 0906963 0918549 0984724 1013197 1017492 1025623 1055590 1056024 1066309 1076299 1088120 1088214 1088690 1116854 1143228 1144234 1165961 3064977 3071015 3071734 3082682 3087407 3091573 3092880 3093174 3094719 3095625 3098292 3099729 3102884 3104386 3104658 3106068 
011230	TAYSEM	1167856	13	0700408 1017339 1171297 3077471 
006555	PK232	0127086	13	0731629 0960497 1021017 1021867 1055078 1076299 1088636 1170860 
006043	TAYD	0409737	15	0744449 0896929 0909240 0915622 0952008 0964596 0967988 0970193 0987600 0999715 1000355 1002405 1005082 1005112 1006438 1007394 1009729 1016434 1018936 1020520 1024283 1040818 1049929 1064780 1067334 1068052 1076989 1077161 1081917 3073169 3077471 
006060	EHSEM	0031384	31	0744449 
008446	EHII	0893542	1	0751788 0853174 0897034 0906085 0949279 0971073 0988620 1000750 1005346 1007134 1007882 1029737 1056012 1056738 1056970 1058048 1082799 1098099 1150758 3076576 3090362 3099704 
008501	PK337	0125630	31	0751788 0906085 0907596 0913989 0945635 0967042 0971073 0972633 0976318 0988544 1006405 
010966	PK200	0775640	57	0751788 0966094 1020520 1076009 1105086 1128560 
001840	PK229	0168763	27	0757321 0786916 0859231 0908998 0946010 0986807 0988271 1000990 1004733 1009559 1013071 1017444 1017492 1020150 1036442 1039868 1056970 1067933 1077482 1078921 1079771 1080757 1081250 1082907 1088558 1092116 1096113 1141729 1142309 1143723 1149270 1159063 1169109 1170860 1171461 3070344 3070440 3073357 3098948 3106953 3112067 
001891	GOCOM	0031557	15	0757321 0786916 0908998 0920095 0966299 1088180 
011209	PK10	3208554	13	0757321 0987613 1143290 
001474	ROSTUD	0020093	15	0779081 0900240 0912439 0913880 0950504 0993532 0999195 1005149 1007196 
011204	PK243	0309967	48	0779081 0871681 0887586 0904516 0909091 0913880 0915622 0945449 0951991 0952211 0954830 0959200 0986807 0988245 0988263 0988544 0988625 0989590 0991668 0992796 0993517 0993818 0999733 1002248 1002606 1002706 1004206 1005112 1005720 1006899 1007554 1008967 1010643 1018817 1025508 1025569 1030683 1036442 1037745 1038420 1058223 1059654 1063875 1064605 1077417 1077874 1078198 1080792 1082708 1087081 1088180 1088882 1092999 1095157 1101350 1101406 1111549 1117264 1134015 1143265 1143717 1161132 1161482 1170071 1170303 3064940 3070344 3070648 3073138 3074167 3076618 3077033 3077762 3078408 3082398 3085986 3088988 3089611 3090266 3090362 3091295 3092360 3094906 3095009 3098754 3100408 3102316 
011205	THTL	0406445	9	0779081 0871681 0913880 0950504 0954830 1018817 1025569 1055078 1088214 1088882 1095157 3086015 3095625 3098796 3106131 
001837	PK25	0409956	15	0781523 0870197 0948390 0972660 1005102 1008925 1017492 1036225 1040045 1040874 1064752 1065148 1065732 1077413 1080648 1081101 1082315 1082842 1084057 1085106 1088558 1092187 1099178 1102030 1111549 1115477 1116854 1139478 1143639 1143723 1150699 1150965 1159063 1160158 1160614 1162008 1163326 1163860 1170823 1171905 3064940 3068712 3069991 3072208 3073507 3076456 3077623 3082682 3088117 3088978 3093221 3093697 3095009 3095387 3096592 3097158 3098754 3104489 3105166 3107254 3112067 
002161	TAYG	1083806	1	0781523 0870197 1010643 1025460 1029566 1041559 1045379 1059572 1064605 1066309 1082907 1084057 1085106 1088785 1099059 1101406 1116854 1119989 1133174 1134358 1143639 1150965 1158007 1160158 1169962 1170303 3068712 3072484 3077762 3078073 3080595 3093770 3095719 3096547 3099165 
006847	GOB	0824244	16	0781523 0870197 0954240 0970193 0988263 1017444 1020150 1021867 1029566 1029787 1055290 1067460 1068371 1076009 1078921 1079366 1119989 1134358 3064940 3070406 3073357 
001871	TH110	0027651	31	0786916 
001546	TAYSEM	0031756	16	0828394 0907063 0913989 0918009 0920237 0964596 0993532 1057610 1065142 1087782 3070374 3099420 3099704 3100897 3105820 3105821 
001552	PK154	0129398	15	0828394 1087782 
011203	PK10	0129398	31	0828394 0959919 0966125 
001179	THTL	0856193	47	0828596 1017412 1055078 1078198 1078819 1084017 1087782 1142309 1171905 3072447 3073666 3080473 3082398 3087433 3088812 
001249	CARP15	0031471	31	0828596 0871681 0903917 0918064 0954830 0966077 0966299 0986807 0991763 0992189 0992616 0993551 1007554 1007842 1037745 
003441	GOB	0897706	31	0832653 0877028 0906447 1020478 1038303 1065196 1066778 1079756 1088882 1095349 1121871 1122905 1129708 1169331 1170860 3068369 3077163 3107963 3107966 
004036	DAL100A	0163316	13	0832653 0951991 1006799 1065646 1077417 1085106 1095717 1099059 1104669 1143639 3067556 3072208 3087433 3104731 
003278	RCSEM	0675005	15	0833266 0952594 0987243 1001039 
003026	GIL101	0222805	13	0847790 0877028 0907063 0911775 0971315 0993268 1001894 1002241 1005059 1008387 1021751 1025522 1034405 1058048 1064780 1065654 1068383 1080792 
003036	PEMSTD	3195619	15	0847790 0907063 
004276	TAYG	1165566	16	0847790 0903917 0909216 0992801 1009559 1030693 1045379 1050781 1057261 1077874 1087490 1087960 1088120 1088173 1102354 1164206 1169962 3068353 3071094 3073568 3076489 3078500 3081368 3085909 3088652 3089611 3089824 3090519 3091573 3091695 3095111 3095842 3099468 3102884 3102915 
007007	TAYD	1075274	27	0847790 0909240 0959092 1037745 1039679 1059677 1073544 1077161 1079363 1085324 1131189 1143717 1149344 1163417 1170703 1171414 3072890 3074792 3074891 3075371 3079675 3085810 3087352 3087407 3088651 3091695 3092880 3095928 3099359 3099986 3105821 
004075	ROSTUD	0854975	13	0849713 0867125 0915740 0918064 0965927 0988355 0999689 1040818 1065271 
004889	THTL	0031373	15	0849713 0912699 0913946 0919776 0920251 0966303 0970262 0988355 0989401 0991229 0991668 1001887 1004206 1007348 1085324 
009273	GOCOM	1084371	9	0849713 0968216 0998885 1007779 1065196 3095924 
009233	PK232	0029475	29	0852608 0897034 0906085 0971315 0998351 1001887 1007882 1058058 
003040	PK328	0492580	13	0853174 0986262 
003433	EHLEC	0031477	11	0853174 0861816 0871681 0916427 0948568 0986807 0988271 0992186 0993566 1005451 1018817 1019212 1021017 1039943 1042335 1056217 1056857 1059654 1066335 1066982 1067241 1077161 1079444 1085061 1092116 1092187 1092999 1100338 1126639 1157506 3068712 3070881 3072447 3072484 3074936 3086536 3087696 3088421 3106835 
011224	GOCOM	3196642	31	0856128 0917165 0998972 1032432 1085324 1143265 
006850	PK337	0031335	13	0859409 1066683 1068052 1077380 1137955 1172355 3072397 3085403 3086536 3105046 3107658 
010845	TH251	3092941	1	0861816 0920248 0959919 0965861 0988826 1010175 1020478 1039868 1040868 1042335 1066335 1085061 1086802 3078465 
011193	GOB	0431946	9	0861816 0918519 0920248 0986367 1040045 1040618 1041140 1056320 1067483 1084321 1100383 1112377 1146370 1161482 1172030 3078500 3080794 3087983 3092969 3094722 3107658 
005191	PK328	3197633	15	0865582 0992186 
005310	RCCON	0056990	57	0865582 0909216 0915648 0963528 0986688 0999833 1172030 
009303	CARP13	0029475	31	0865582 0896929 0913115 0984724 0986262 0986688 1054176 1057004 1066308 1076085 1076783 1141220 
011202	TH111	0499501	31	0867125 1056963 1076923 1158362 3078408 
001851	CARP21	0409956	31	0868541 0904516 0915885 0959304 0986094 0992796 1006744 1009559 1017832 1021867 1029566 1029737 1045379 1055290 1067460 1068549 1078921 1082150 1116854 1172397 3080595 
001896	PK231	0056992	15	0868541 0959200 0992744 1003020 
007403	RCCON	3220572	47	0868541 0988271 1021867 1025533 1088180 1150720 3098918 
003033	PK10	0492580	15	0877028 1004997 1080792 
007041	GIL101	0162976	57	0877028 0920237 1004968 1030369 1040818 1065183 1065654 1067483 1067862 1068109 1088690 1141220 1149565 3070440 3073143 3075745 3085504 3102153 
007398	PK200	0851717	31	0887586 0919158 1003100 1004324 1041140 1055441 
002653	PK337	0138190	29	0896476 0998799 1020370 1067241 1078646 1087490 1115477 3071734 3079370 3097903 3104658 
002688	PK200	0031353	15	0896476 1087490 3072397 
007081	PK278	3221335	9	0897034 1000990 1013071 1016996 1056738 1065148 1067748 1068109 1073544 1082150 3076896 
001842	TAYE	0031557	29	0897911 0913115 0919283 0945584 0946010 0958984 0966299 0988271 0993268 0993551 1000750 1000990 1001394 1013071 1034405 1036442 1038420 1055290 1056980 1058421 1065196 1065271 1066309 1066778 1068371 1082150 1082907 1084363 1088636 1093549 1095157 1095349 1139478 1143723 1171002 1172397 3068353 3072910 3073143 3074001 
003270	CARP25	0675005	31	0897911 1060299 1067382 1079268 1086447 1090564 1100537 1122784 3073702 3074711 3079370 3087720 3088988 3089009 3089636 3096547 3102868 
002432	PK227	0024663	15	0897931 0998351 
004734	PK278	1084458	13	0897931 1017840 1037338 1082919 1099662 1111549 1166163 3090519 3094573 3099822 3104489 3106131 
003518	CARP13	0915760	9	0903917 0907150 0912699 0917732 0965925 0965927 0980544 0990668 1058421 1066778 1084334 3068369 
005272	GOCOM	3197633	13	0903917 0992616 1005412 1039679 1083812 1141220 
001857	CARP17	0123161	15	0904516 0906963 0911936 0972861 0992796 1006744 1041559 1068549 
007396	CARP17	0851717	13	0904516 0909942 0914076 0986367 0992744 0993517 1008282 1055441 1124785 3072910 
004279	PK227	0017611	29	0904680 0966268 1005548 1076299 1086867 1117320 
004281	DAL318	3092832	15	0904680 1056096 1117320 
004285	THTL	3092832	57	0904680 0947693 0988625 1020478 1025569 1038671 1076854 1078413 1082150 1086867 3070648 3076618 3094287 3095111 3102974 
004303	PK11	0031577	9	0904680 0909091 1045379 1066309 1076299 
007370	GOB	0826964	57	0904918 0915885 0993517 1002047 1008282 1056024 1077413 1079268 1146782 1169382 3064977 3073702 3074734 3079370 3080473 3087394 3100989 3105802 3106953 
010958	TAYSEM	1084371	57	0910403 0954831 0965861 1038303 1082799 1090933 1095349 1101031 1142212 1164190 3072447 3076930 3087720 3089276 3096011 
008766	DAL204	1168489	47	0906085 0918775 0999826 1020150 1025623 1059572 1065271 1066982 1067460 1079268 1087490 1087938 1088365 1093044 1100536 1100537 1101336 1102354 1122784 1129708 1141167 1160614 1167438 1169382 3070440 3071313 3073692 3075829 3076190 3076456 3076576 3077336 3077623 3081669 3085509 3085513 3087449 3092972 3094908 3095588 3095630 3095928 3096149 3096592 3097903 3098883 3099590 3100824 3100989 3103445 3105820 3107993 
003004	EHII	1083868	29	0906447 0909240 0986262 0987600 0999826 1056722 1064780 1067334 1077257 1079363 1086916 1088365 1095814 1104669 1150720 1158208 3072594 3073066 3073384 3073666 3076190 3077064 3077336 3085509 3095105 3095649 3096962 3099774 
008437	TH251	0031619	31	0906618 0991120 1053105 1059572 1086489 1145578 1150758 1169257 3070017 3073146 3078073 3087347 3087444 3095588 
008799	GIL210	0031572	29	0906618 0920095 0945034 0945264 0960037 1015256 1080653 1086802 1087081 1102530 1146215 3073702 3078408 
008821	CARP25	0031572	13	0906896 0918074 0945635 0954831 0976421 1004733 1005971 1015256 1025845 1080653 1088690 1146215 1149565 3071734 3075745 3085504 3085521 
004275	TH104	0031577	31	0906963 0920400 1081917 1104356 1117264 1117320 1140609 3077064 3088421 3090785 3092236 3099957 3100678 3100927 3102153 
004835	CARP13	0032827	57	0906963 1007952 1063875 1067726 1076531 1078648 1095717 1096822 1100625 1104151 1116377 3086512 
002433	PK349	0697660	15	0907150 0907217 0949279 0991672 1058058 
002465	CARP17	0493725	31	0907150 0909560 0945584 0950942 0991672 1005102 1005315 1034578 1039943 1058242 
003274	TAYSEM	3094764	11	0907150 0991120 1004324 1025508 1025623 1032769 1053370 1067382 1067502 1090564 1096470 1146215 1170370 3072910 3087720 3088988 
002469	RCCON	0031489	13	0907217 0991672 1005315 1019025 1034578 1058058 
004670	CARP25	0468281	47	0908461 0915648 0917165 0945264 0952783 0986367 0995269 1004225 1007842 1057004 1057261 1078646 3085909 3093697 3099468 3099822 3108036 
002668	PK227	0576472	31	0908998 
001465	DAL318	0024218	31	0909091 0913880 1005149 1025845 1169968 
001152	DAL204	0406445	13	0909216 0999733 1001887 1007779 1013197 1079756 1080272 1103391 1105842 1129814 1131918 1140609 1141167 1143717 1160614 1162008 1162293 1167996 1169402 3069991 3071015 3072063 3072293 3073138 3073146 3075163 3075371 3081368 3082830 3086747 3088090 3088352 3090537 3090785 3091295 3092072 3092236 3092972 3092985 3095050 3095588 3096693 3097462 3097903 3098754 3098796 3099448 3100628 3100824 3100927 3102884 3103177 3105802 3107323 3107589 
001767	PK229	0995161	31	0909216 0990668 1077380 1084321 1100338 1126492 1149616 1170470 3071151 3076618 
010942	TAYG	0207327	47	0909240 0945449 0945959 0958879 0964596 0967988 0987600 0987613 1000355 1002248 1005059 1005082 1005112 1006438 1016434 1018936 1049929 1055348 1056722 1058223 1064780 1065183 1067251 1067334 1068052 1077161 1077482 1081917 1086916 1088384 1117142 1139392 3072477 3077472 3079376 3085649 3105854 
003001	EHII	1083868	57	0909560 0966414 1000355 1005059 1007799 1008967 1018936 1032929 1056722 1067334 1068383 1081249 3065039 3073004 3073066 3073169 3073384 3074570 3077064 3077472 3079272 3079376 3104731 3107980 
004874	CARP13	0531931	16	0909560 0947693 0973811 0991668 0991672 0993169 0999896 1001351 1004206 1058058 1077065 3080592 
006034	GOB	0207327	1	0909942 1030369 1055348 1059469 1080653 1081249 1082842 1088365 1096470 1100536 1104216 1139392 1157047 3069264 3072208 3072594 3073666 3075188 3079376 
006502	PK264	0031621	31	0909942 1009729 3213032 
008496	RCCON	0031619	9	0909942 0972633 0991120 1006405 1032929 1084017 3067556 
003445	CARP21	0031359	1	0910403 1019212 1056857 1058180 1059654 1064752 1077683 1080303 1081101 1084363 1100537 1105086 1165573 1169331 1170757 3069991 3080937 3087394 3094695 
004810	CARP15	3207943	15	0910403 1058180 1171002 3069337 3092599 
011237	PK349	3198619	31	0911775 0960068 0981989 1007134 1056815 1076238 1077257 1077416 
010959	DAL318	3208608	47	0911802 0967411 0988544 1003100 1010750 1037291 3073507 
010944	PK278	0777265	31	0911936 0920261 0958897 1004968 1005346 1006105 1007882 1082799 1083431 1083812 3085403 
009299	RCCON	3092667	31	0912699 1001351 1049050 1096822 1100625 1116377 1141729 
004882	PK11	0031489	31	0913946 0920251 1058421 
011206	PK11	0129398	13	0913989 0992577 1007348 1025569 1032769 
007393	TH104	0987494	15	0914076 0918775 3072910 
010977	CARP13	0492451	29	0914076 0945449 0967042 0972633 0999733 1003128 1005112 1015275 
002464	CAN314	3208421	13	0914290 0914299 0980693 0992189 0999896 1016996 1050781 
005216	RCSEM	0493856	29	0915622 1039679 1143265 1169386 
011185	EHIII	3195964	31	0915622 1081249 
005252	GIL210	3090017	9	0915648 0966077 1001196 1039679 1056815 1066308 1076274 1076783 1077065 1080894 1141220 1145146 3085644 
007017	CARP25	3195964	15	0915740 1001394 1102530 3067556 
001844	CARP21	1063828	27	0915885 0920095 0991763 0992796 0993169 0993532 1004225 1006744 1025533 1041559 1056980 1068549 1081101 1088180 1095157 1098099 1117264 1169257 1169962 3068369 3070438 3071094 3073507 3078465 3195980 
010948	EHII	1062534	46	0915885 0917334 0958984 0959189 0963413 0991120 0992616 0993566 1001351 1002606 1005068 1020150 1037745 1055290 1055441 1056738 1059572 1078390 1078896 1080808 1105842 3074792 3079369 3085083 3095968 3099165 3104489 3106953 
010950	CARP13	1168489	15	0916427 0960037 1076854 3078408 
002175	CARP15	0168378	9	0918009 0919283 0946010 0952783 0954641 0959189 0959304 0960084 0970193 0988625 1002045 1002767 1016434 1036225 1065183 
006049	ROSTUD	0031454	1	0918064 0945449 1005059 1005082 1008387 1025629 1056722 1086916 1088384 
004356	THTL	0847593	11	0918074 1009729 1025629 1049050 1063875 1087938 1171002 3072397 3088090 3092999 3094287 3097133 3098796 3100835 3100927 
001771	EHIII	1165592	9	0918775 0944831 0991756 0995269 1056012 1143228 1162293 1169360 3098354 
008796	TH251	0576472	15	0919158 
002174	EHI	0004950	13	0919283 0952783 0972660 1008925 
001195	CARP21	0031471	29	0920237 0986094 0988100 0988263 1000939 1005068 1007842 1025508 1029737 1057261 1067748 1078655 1079993 1080303 1085106 1092999 1102030 1103391 1105842 1117264 1137955 3088117 3088812 3089081 3089566 3105818 
009271	TH251	0058557	39	0920248 1005451 1066335 1076234 1084363 1088636 1090933 1100338 1122905 3073300 3080937 3098354 3103807 3103826 
006588	DAL318	0031478	9	0920261 0985094 0985440 0998799 1004968 1005346 1025522 
007111	DAL100A	0777265	15	0920400 0976421 1056738 
001768	TAYG	0027799	31	0945034 0952008 1007779 1077683 1078413 1088192 3072063 
003407	DAL105	1051448	31	0945959 1076531 3099420 
006041	TH251	0619470	11	0945959 0958879 0964596 1005059 1020520 1036225 1055348 1076989 1084187 1088384 1099662 1143290 1146370 1150965 
001861	PK200	0056992	13	0945969 0989520 1004225 1017832 1029737 1079771 
004046	EHIII	0854975	15	0945969 1056963 1065183 1076923 1078896 3070374 3076896 3099467 
007404	PEMSTD	0056992	31	0945969 1002047 
001442	DAL318	3098022	29	0947693 0992186 1140609 1169968 1172355 3096693 
001457	RCSEM	0024663	31	0947693 1017840 1037338 1086927 
002153	PK338	0986606	1	0948390 1006405 1038420 1040045 1056096 1066778 1068549 1076299 1077413 1078390 1080808 1086867 1088120 1088636 1092187 1124785 1129814 1159063 1162008 1163326 1163860 1167996 1169257 1170071 1170823 3070344 3070438 3071094 3073146 3073357 3076456 3083787 3086400 3087444 3088090 3088124 3088521 3089566 3090266 3092072 3092431 3092999 3093221 3094809 3094908 3095105 3095111 3095335 3095968 3096011 3096592 3097133 3097347 3098799 3098883 3099448 3099911 3099986 3102380 3102599 3102915 3104541 3106561 3106835 
004394	GIL210	0490454	31	0948568 1067182 
010969	RCCON	1084458	15	0948568 0995269 1101350 
009342	GOB	0031522	15	0950811 0958897 1086447 
007378	PK349	3220272	46	0952443 0987347 0993506 1002036 1064790 1078198 1079085 1084363 1088558 1090564 1100537 1122784 1143723 1146782 1149344 1150720 1163278 1169382 1169402 3064977 3070438 3073066 3073138 3073357 3074167 3074734 3075163 3076930 3077163 3077623 3086015 3086180 3086238 3087394 3088521 3090266 3099590 3100408 3100897 3102915 3104770 3105802 3106131 
001893	CARP21	3202080	15	0954240 0960068 1002045 
002176	PK264	0986606	29	0954641 0959304 0966094 0972861 1002045 1002767 1038671 1080648 
005205	CARP25	3090017	16	0954641 0986367 0986688 0991229 1007842 1020520 1064752 1076923 1100338 1103391 1170370 3090266 3090537 3091653 3095009 3097636 3105802 
006868	PK232	0031335	31	0957333 0958186 0989432 0991769 1013197 1024283 1055590 3074023 
006546	EHIII	0031478	29	0958186 0985094 0988990 1021017 1025460 1030683 1067251 1095596 1169109 
007391	PK200	0031631	9	0958897 0993517 1079085 1102354 1124785 
011041	EHII	0827051	15	0959092 0992223 0993818 1009103 
011189	TH251	3195964	13	0959189 0966303 0999712 1013071 1018183 1056857 1056970 1059677 1067862 1077416 1078390 3069264 3073004 3105612 
002166	CARP13	1167863	47	0959304 1009729 1017444 1025629 1038671 1065142 1068371 1076009 1079366 3070406 3108306 
006035	THTL	0409737	31	0960084 1055348 1058223 1076776 1088365 1143290 1146370 1150965 1158007 3069264 3070406 3072208 3075188 3095968 3108306 
003428	TH251	0915760	47	0963528 0988826 1000750 1034578 1038303 1056217 1056320 1079444 1080757 1081250 1142212 3069038 3072293 3079272 
004362	PK227	0138190	13	0965925 1054176 1066915 1080808 1117142 
004667	PK232	0367446	9	0966303 1077417 1083594 1085324 1169386 3082398 3088124 
010946	RCCON	0576472	29	0966303 0992189 1009103 1087938 3075163 3100110 3102832 
003002	DAL100A	3195619	31	0966414 1002241 1007799 1008967 1021751 1032929 1034405 1065654 1095814 1098099 1170703 3076489 3081368 3085513 3085644 
003448	TAYD	0031359	57	0967411 0968216 1018183 1020370 1029566 1030693 1039943 1056857 1058180 1067241 1076234 1076437 1085061 1101350 1115477 1121871 1149616 1165573 1169341 1169360 1170860 3069038 3072867 3080794 3083787 3089009 3095630 3097462 3098948 3108036 
006059	PK154	0031384	13	0970193 1007394 
006580	PK232	0777265	57	0970262 0976244 0985440 0988990 0998799 1058421 1064270 1095596 
004809	TH104	3194193	13	0971073 1139478 3074965 3087493 3090362 3092969 3095625 3097894 3104770 
004010	EHLEC	0030564	47	0973811 0988263 0992801 1005149 1008282 1064045 1088214 1094929 1137955 1158208 1163664 3069337 3070017 3073702 3074314 3076211 3077762 3079369 3087347 3087394 3087696 3089892 3092236 3092580 3092599 3094695 3094809 3095719 3099911 3103807 3103933 3105511 3106561 3106769 3107774 
011191	DAL204	3213249	15	0976318 1083812 
002368	CARP21	3207943	16	0980693 1056910 1082708 1084187 1086710 1087938 1090933 1101336 1104356 1136830 1163417 1170848 1171297 3071136 3073300 3073692 3074001 3074930 3085810 3085986 3092294 3097347 3098796 3102832 3103933 3107589 3107993 3195980 
002395	ROSTUD	3207943	31	0985094 1098210 3068772 3074930 
