Course	Room	Teacher	Time	Students
001473	TAYSEM	3098022	238	0145931 0901262 1017840 1025845 1044157 1056281 1057779 1077815 1082919 1083627 
004725	GOCOM	0493856	238	0369592 0905682 0991213 1001894 1036442 1094520 1100338 
001836	PK25	0898918	7	0393089 0753686 0787159 0802127 0865750 1067377 1080303 1080808 1088120 1104216 1133174 1143290 1150965 1162688 1163278 1167996 3070881 3085083 3085649 3087449 3087465 3088124 3088521 3089636 3090430 3091573 3092072 3092599 3093818 3094809 3094908 3095105 3095111 3097133 3098330 3099669 3099911 3100786 3100835 3102380 3102915 3103177 3103445 3103486 3104541 3104653 3105958 3106561 3106835 3107966 3126626 3129759 3132705 3142819 3153098 3161291 3166052 3168511 3180674 3180861 3185451 3188399 3193198 3198263 3198863 3202006 3212408 3216292 3216810 3217421 3218454 3218659 3219051 3219056 3225302 3226257 
002160	PK180	0004950	11	0393089 0802127 1040045 1064752 1068549 1080808 1129814 1159063 1162008 1163326 1163860 1167996 1170071 3073357 3076456 3082682 3083787 3086400 3092072 3093221 3094809 3094908 3095105 3095111 3096592 3097133 3097158 3098799 3099448 3099911 3099986 3102380 3102599 3102915 3104541 3106561 3112067 3114802 3191520 3201354 
006846	GOB	0824244	10	0393089 0753686 0787159 0802127 0865750 1029737 1066309 1082907 1133174 1143639 1161482 1163860 3070344 3070438 3082682 3083787 3086400 3090430 3092999 3093221 3096547 3097120 3099822 3100110 3106835 3107980 3112067 3189516 3212471 3212915 
003026	EHI	0222805	238	0480377 1008967 1056963 1067724 1077294 1078819 1079363 1081249 1094929 1104669 1160658 1170703 3072477 3073004 3073169 3074570 3077064 3077336 3079376 3104731 3107980 
006029	PK349	0409737	241	0480377 1008967 1017832 1065796 1078680 1082842 1088214 1090564 1094134 1101406 1116854 1160158 1163391 1167714 1170303 1171905 3070344 3070438 3071136 3074792 3079862 3081669 3087352 3087444 3087449 3089081 3092431 3092999 3093221 3094719 3094992 3095105 3095335 3095719 3095842 3096011 3096547 3096962 3097133 3097636 3098330 3098799 3098883 3099165 3099911 3099986 3100110 3100408 3102316 3102380 3102599 3104541 3105170 3105854 3106561 3153272 3153273 3211369 3211884 3212471 3212915 
008803	TAYSEM	0576472	239	0480377 1076274 1078508 1131602 1146215 1160158 3071734 3085504 3089636 3198776 
011331	CARP15	3325447	240	0480377 1000355 1021751 1064780 1065654 1081917 
007010	GOA	0162976	238	0501319 1000750 1026650 1056600 1066431 1077161 1078390 1112377 1169257 1170709 3073568 3074965 3075371 3075745 3076896 3085504 3086180 3088652 3093190 3094722 3099420 3107658 
009262	DAL318	3196642	240	0501319 1167438 3094695 3102969 
003277	TH251	0675005	238	0668952 1039831 1042335 1065238 
010724	ROSTUD	1168490	238	0700408 1002036 1025460 1038420 1094134 
002151	PK349	3319913	6	0753686 0787159 0865750 1077874 1080789 1082842 1160614 1171905 3070697 3073507 3085083 3086583 3088352 3088812 3091695 3098354 3098948 3100835 3107254 3107966 3110744 3113981 3127487 3127715 3129160 3134622 3157738 3160245 3185597 3186604 3188275 3192700 3192954 3196371 3196629 3198788 3200235 3202261 3211826 3212073 3217578 3218938 3220990 3221305 3221716 
007099	PK264	0028980	126	0827963 0911775 0920400 1013071 1020695 1024315 1056738 1064148 1080757 1084185 1158208 3070440 3091695 3105612 
008479	TH3F	0031619	238	0827963 1053105 1079614 1098099 1144234 1150758 3076576 
008500	PK227	0031619	241	0827963 0906618 0909942 0987937 0991120 1000750 1032929 1050781 1053105 1064270 1073544 1077003 1079614 1082799 1084017 
003572	CARP25	3092941	239	0832653 0991213 1003389 1018174 1019212 1020478 1025379 1030693 1035148 1037541 1038303 1039868 1039943 1040868 1053370 1056012 1056320 1058180 1065196 1066335 1066778 1066924 1076437 1079444 1084334 1170860 3080937 
