Course	Room	Teacher	Time	Students
1	3	5	1	2 13 15 16 20 26 30 37 
2	3	2	3	2 9 10 11 13 18 21 36 38 43 44 47 50 
3	4	6	1	4 6 10 12 17 18 22 34 41 42 45 
4	4	6	2	3 15 17 29 31 35 38 39 43 44 49 50 
5	4	3	4	2 3 10 18 19 22 28 35 37 41 44 46 
6	3	2	4	16 17 23 32 39 42 43 45 47 48 49 
7	1	7	1	5 7 27 28 38 40 44 
8	1	4	3	6 7 12 17 22 25 26 34 40 
9	1	4	4	1 4 5 6 8 9 11 13 15 20 21 24 29 31 34 37 38 
10	1	3	2	7 9 22 25 27 40 
11	3	5	2	1 4 14 19 23 33 36 41 48 
12	2	1	1	8 14 19 24 25 31 32 33 48 50 
13	2	1	2	2 5 8 10 11 12 16 26 30 39 46 
14	4	7	3	1 3 5 14 15 19 20 23 24 27 29 32 33 35 36 42 45 46 47 49 
