Course	Room	Teacher	Time	Students
1	TAYD	239	41	570 63 723 
3	HLS105	99	23	407 416 385 
4	MARSHAUD	151	41	643 21 704 658 166 
5	SHA213	251	41	61 
7	SHA412	178	2	715 1015 338 1098 131 135 378 371 706 791 185 660 694 548 868 999 313 1181 783 163 1155 898 354 214 1097 674 57 52 429 304 853 562 563 1022 482 
9	MAGILLHVID	281	41	446 1053 1082 451 996 150 
12	IRADEAREID	68	41	681 732 1180 
15	CHS101	22	24	716 278 1017 1025 6 96 26 88 81 85 584 454 457 175 977 1080 182 653 16 19 598 990 765 574 730 891 766 767 1092 111 823 1165 568 1023 1037 1161 44 638 479 
17	IRADEAREID	108	44	681 1096 
19	GIACSWAN	160	41	1013 235 130 828 245 511 966 954 1046 487 
20	ESTW115	272	41	1078 720 
21	LOCK105	72	37	813 270 492 493 696 416 411 496 896 288 260 426 1127 728 
22	UN114	122	41	714 433 859 92 1131 1136 13 881 928 731 301 847 
24	HLS204	23	37	344 917 903 556 83 624 545 1181 497 784 632 761 674 266 156 476 
26	ART15	113	11	197 273 495 517 885 414 1104 876 229 723 
27	MAGILLHVID	151	44	201 677 772 1029 1163 
28	UN111	145	41	595 903 657 865 935 358 117 1115 
29	STO301	215	41	736 198 272 1015 238 946 944 683 629 84 322 778 1048 1181 574 254 961 1094 537 116 113 727 49 1113 
31	SHA213	151	23	705 
33	UN111	212	23	449 447 627 8 991 312 787 503 282 989 116 737 224 
36	LNKL309	17	41	890 
39	LNKL205	317	41	1139 659 549 838 359 568 
42	GST103	185	41	124 
45	ROB7	179	23	718 619 556 614 143 768 696 923 496 570 968 1071 63 983 1164 399 958 472 
47	LOCK105	107	41	125 837 
50	GST102	261	44	816 900 558 81 585 450 1110 995 416 579 574 1079 1036 609 
51	HLL106	52	41	1144 
52	ROB7	304	41	915 1061 553 552 703 175 577 256 464 
53	HLS204	36	41	154 
58	STO301	157	31	342 595 1062 430 1053 140 680 88 886 1179 203 665 786 967 287 670 53 843 1024 41 479 
59	ART15	196	41	75 780 802 
60	ARTS8A	127	41	336 144 403 468 894 215 
62	STO301	87	28	810 712 710 198 522 108 91 137 379 395 241 929 1011 418 832 833 1102 532 983 113 1164 1068 565 157 749 
